initial date: 2024-03-01, Fecha actual: 2026-03-01
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),rsi14,relVol30,etiqueta
69,0.016,-0.180,-0.017,-0.140,100,21,-9,49.5,0.03,^CLTBGUCCI
84,0.037,0.318,0.215,2.818,100,21,-34,45.4,1.00,^CLTBZNITH
16,-0.095,-0.078,-0.471,0.047,100,48,-10,45.2,1.00,^CLTBVACRN
80,-0.033,0.403,0.506,1.412,100,0,-1,65.3,-1.00,HKD=X
97,0.158,0.187,0.050,0.573,100,21,-168,63.7,1.61,PL=F
96,0.135,0.210,0.097,-0.023,100,21,-118,55.0,5.52,PA=F
3,-0.137,-0.198,-0.090,-0.411,100,24,-7,51.7,-1.00,ZAR=X
8,-0.144,-0.342,0.065,1.330,100,47,-4,52.2,-1.00,RUB=X
0,0.000,0.000,0.000,0.000,100,47,-4,52.2,-1.00,CNH=X
42,-0.161,0.269,0.151,-0.378,100,12,-8,47.6,-1.00,AUDCHF=X
99,0.055,0.235,0.195,0.088,100,0,-14,61.8,-1.00,AUDCAD=X
99,0.110,0.159,0.313,-0.005,100,0,-11,64.4,-1.00,AUDNZD=X
77,0.170,-0.089,0.178,-0.126,100,5,-13,53.7,-1.00,EURNZD=X
6,0.114,-0.470,-1.861,-0.416,100,13,-1,34.6,-1.00,GBPAUD=X
1,-0.160,-0.111,-0.445,-0.235,100,13,0,28.2,-1.00,GBPCHF=X
67,0.173,-0.128,-0.401,-0.328,100,4,-9,48.6,-1.00,GBPNZD=X
34,-0.109,0.100,-0.653,-1.188,100,5,-4,40.2,-1.00,NZDCAD=X
6,-0.182,-0.004,-0.504,-1.275,100,23,-2,36.6,-1.00,NZDCHF=X
87,-0.074,0.611,-0.192,0.662,100,6,-16,37.8,-1.00,NZDJPY=X
1,-0.180,-0.049,-0.284,-0.279,100,19,-0,39.4,-1.00,CADCHF=X
2,-0.136,-0.068,-0.133,-0.011,100,20,-0,43.4,-1.00,NOK=X
5,-0.153,-0.150,0.146,-0.082,100,24,-3,54.7,-1.00,SEK=X
41,-0.166,-0.174,1.998,-1.080,100,7,-4,78.6,-1.00,NOKSEK=X
2,0.012,-0.198,-0.553,0.049,100,8,-0,33.5,-1.00,EURNOK=X
6,-0.154,-0.288,0.177,0.005,100,10,-2,55.0,-1.00,EURSEK=X
100,0.186,0.167,0.186,0.219,100,0,-41,86.9,-1.00,TRY=X
17,0.001,-0.245,-0.133,0.471,100,22,-6,54.5,-1.00,MXN=X
3,-0.142,-0.219,-0.140,-0.115,100,8,-0,46.9,-1.00,SGD=X
57,0.163,-0.151,-1.296,-1.691,100,3,-9,36.9,-1.00,GBPCAD=X
99,0.083,0.264,0.070,0.602,100,1,-33,47.3,-1.00,ZARJPY=X
20,-0.133,-0.301,0.107,0.356,100,4,-2,63.2,-1.00,EURPLN=X
3,-0.132,-0.152,-0.078,-0.454,100,26,-1,58.7,-1.00,HUF=X
1,-0.055,-0.220,-0.153,-0.608,100,11,-0,48.7,-1.00,EURHUF=X
1,-0.085,-0.139,-0.458,-0.586,100,17,-0,40.1,-1.00,GBPHUF=X
35,0.036,-0.196,0.072,-1.642,100,7,-7,58.7,-1.00,CHFHUF=X
4,-0.152,-0.176,0.052,0.066,100,17,-2,64.3,-1.00,PLN=X
8,-0.141,-0.115,0.155,0.449,100,15,-2,67.9,-1.00,DKK=X
97,0.138,0.150,0.591,0.531,100,0,-1,53.3,-1.00,EURDKK=X
4,-0.146,-0.110,-0.053,0.060,100,20,-2,63.1,-1.00,CZK=X
20,-0.094,-0.097,0.076,2.852,100,64,-4,50.2,0.30,SB=F
26,-0.101,-0.026,0.442,3.858,100,56,-4,50.4,0.00,CT=F
0,-0.108,-0.208,-0.203,-0.221,100,349,0,7.8,0.00,CC=F
91,-0.114,0.297,3.065,1.060,100,18,-19,78.1,0.12,ZW=F
0,0.000,0.000,0.000,0.000,100,18,-19,78.1,0.12,WISGP.SI
94,0.135,0.185,0.047,0.023,100,4,-49,42.4,1.02,M2K=F
8,-0.154,-0.117,-0.162,-0.102,100,216,-28,57.0,0.55,OJ=F
0,0.000,0.000,0.000,0.000,100,216,-28,57.0,0.55,OATS5.MI
13,-0.189,-0.090,-0.844,0.471,100,88,-5778,30.3,0.68,ZR=F
37,-0.127,-0.049,0.881,3.017,20,17,-7,68.6,3.19,CORN
69,-0.116,0.276,2.305,0.290,100,16,-14,78.0,0.85,SOYB.MI
50,-0.143,-0.137,1.230,3.702,100,36,-24,66.3,0.36,RB=F
95,-0.052,0.133,1.206,0.300,100,4,-35,71.3,0.33,HO=F
98,0.180,0.059,0.515,-0.130,100,1,-40,69.9,0.12,LE=F
2,-0.002,-0.000,0.000,-0.000,200,0,0,100.0,1.39,HET=F
98,0.169,0.174,0.196,-0.017,29,1,-39,49.0,0.35,LEAD
81,0.010,0.485,-0.293,0.659,100,28,-108,40.2,0.17,HINDZINC.BO
53,-0.168,0.089,0.745,1.227,72,88,-87,66.2,1.82,BRE3L.MI
99,0.040,0.255,0.253,0.451,64,2,-172,75.2,0.41,NIKL
97,0.115,0.361,0.074,0.612,100,4,-43,55.8,2.10,ALI=F
89,-0.033,0.503,-0.403,-0.497,46,10,-68,36.0,0.84,COAL
99,0.067,0.313,0.213,0.123,38,1,-61,60.1,0.93,5463.T
4,-0.097,-0.345,0.074,-0.159,100,56,-2,4.2,1.12,DC=F
46,0.086,0.035,-1.373,-3.248,100,25,-33,35.0,0.77,LBR=F
0,0.000,0.000,0.000,0.000,100,25,-33,35.0,0.77,7F=F
0,0.000,0.000,0.000,0.000,100,25,-33,35.0,0.77,^SPGDEPY
6,-0.163,-0.191,0.115,0.142,100,22,-2,63.7,-1.00,ILS=X
6,-0.123,-0.233,-0.203,0.192,100,19,-1,48.9,-1.00,GBPILS=X
9,-0.116,-0.190,0.102,0.460,100,15,-7,52.2,-1.00,EURILS=X
11,-0.067,-0.247,0.366,1.702,100,20,-6,61.4,-1.00,COP=X
4,-0.040,-0.703,0.046,-0.324,100,17,-2,54.7,-1.00,CLP=X
74,0.118,0.246,-0.872,-1.346,100,3,-10,35.1,-1.00,KRW=X
10,-0.003,-0.091,-0.364,-0.640,100,23,-4,37.0,-1.00,BRL=X
81,0.058,0.047,0.613,-0.790,100,163,-67,52.3,-1.00,^VIX
87,0.135,0.163,-0.041,0.503,42,8,-60,38.8,1.36,AAPL
90,0.148,0.170,-0.632,-0.400,62,11,-135,38.8,1.43,GOOG
65,0.160,-0.252,-1.128,0.571,46,22,-51,44.3,0.94,META
8,0.097,-0.579,-1.655,0.657,35,38,-11,44.3,1.24,MSFT
53,0.151,-0.049,-2.421,0.280,37,21,-30,49.6,1.01,AMZN
97,0.020,0.570,0.055,0.617,100,7,-168,49.9,0.38,0HCB.L
89,0.153,0.259,0.000,-0.000,38,0,-62,100.0,-1.00,AEC1D.XC
84,0.120,0.127,-0.313,-0.833,45,11,-62,31.1,0.51,BA.NE
0,0.000,0.000,0.000,0.000,45,11,-62,31.1,0.51,MER-PK
86,0.120,0.147,0.000,0.000,54,9,-102,100.0,-1.00,CAT1.BE
91,0.185,0.262,-0.369,0.109,48,10,-75,29.3,0.03,CSCO.MX
100,0.003,0.285,0.172,0.131,28,0,-40,62.4,1.09,CVX
41,0.058,-0.261,-0.581,0.423,34,17,-30,44.2,1.10,DIS
98,-0.025,0.681,1.363,0.656,27,2,-35,68.3,0.00,49P.F
28,-0.040,-0.389,-0.061,-1.290,30,28,-11,49.9,0.00,HD.VI
49,0.056,-0.302,-1.181,0.837,51,28,-59,35.4,-1.00,2HP.DU
51,0.182,0.074,-2.779,-0.531,48,31,-46,22.9,1.00,IBM
95,0.036,0.329,-0.262,0.623,67,19,-152,33.1,0.66,INTC
100,0.141,0.200,0.189,0.206,43,0,-75,64.7,1.70,JNJ
77,0.193,0.059,-0.541,0.170,63,19,-127,38.6,1.70,JPM.BA
98,0.098,0.344,0.194,0.810,34,3,-48,74.1,0.02,EMBONOR-B.SN
99,0.182,0.147,0.257,1.244,44,0,-79,56.6,0.67,MCD.BA
90,0.190,0.132,0.668,-0.509,56,6,-116,35.0,1.18,MMM
98,-0.024,0.567,0.477,0.405,55,5,-112,49.7,3.26,MRK.BA
72,-0.123,0.363,0.643,1.520,31,14,-28,56.6,0.85,PFE
68,-0.120,0.022,2.100,3.269,23,7,-21,66.6,1.25,PG
2,-0.164,-0.396,-0.148,0.326,87,611,-12,34.8,0.34,ATOS
99,0.142,0.246,1.137,0.124,28,1,-39,53.6,-1.00,PA9.DU
9,-0.136,-0.178,0.078,0.417,62,113,-23,62.7,0.85,UNH
0,0.000,0.000,0.000,0.000,62,113,-23,62.7,0.85,^RTX
2,-0.093,-0.370,-0.000,0.000,22,25,-3,100.0,-1.00,BAC.BE
98,0.192,0.217,0.043,0.240,56,5,-118,45.0,0.72,WMT
100,0.007,0.575,0.111,0.263,36,2,-53,55.1,1.44,XOM
89,0.185,0.166,-0.262,-0.194,55,12,-98,34.2,1.99,C
0,-0.001,0.024,-0.850,0.000,100,13,-19,33.7,0.00,HMCN.MX
53,-0.049,0.080,0.461,-1.777,35,16,-32,61.9,-1.00,MUF.MU
24,0.093,-0.384,-1.269,-0.294,28,26,-10,41.8,1.02,MAST.VI
9,-0.167,-0.227,0.364,-1.142,50,79,-12,50.2,1.68,1NKE.MI
56,-0.130,0.184,1.203,0.653,33,21,-23,50.2,1.01,PEPB34.SA
43,0.156,-0.501,0.054,0.979,47,34,-42,57.8,0.00,SONA.SG
89,-0.046,0.501,0.216,0.368,42,16,-49,51.4,0.00,TOMA.SG
46,0.145,-0.191,-0.791,0.840,32,17,-26,40.8,1.47,V
97,0.152,0.218,0.120,-0.322,46,4,-79,50.0,0.00,VODJ.SG
0,0.086,-0.062,-2.618,8.554,100,0,-29,40.0,-1.00,0P00001487.F
23,-0.171,-0.191,0.916,1.990,47,70,-10,62.8,1.50,COLPAL.NS
86,0.189,-0.046,-0.501,0.886,52,11,-89,56.6,1.10,EBAY
90,0.192,0.179,-0.000,-0.000,89,4,-771,100.0,-1.00,ENR.BE
0,-0.075,-0.327,-0.171,0.029,61,153,-1,30.9,1.57,OWL
29,0.115,-0.359,-0.423,-0.011,14,9,-8,42.1,3.79,LBRDP
5,-0.082,-0.423,-0.044,0.530,53,79,-19,63.4,1.15,TTAN
80,0.029,0.805,-0.269,-5.131,41,13,-49,41.8,1.99,OPCH
24,-0.106,0.210,0.000,0.000,63,99,-35,100.0,-1.00,0L8.BE
35,-0.157,0.323,0.030,-1.958,49,50,-32,34.6,-1.00,1GSN.SG
80,0.144,-0.126,0.227,7.994,39,11,-48,61.6,2.25,PRVA
91,0.032,0.411,-0.280,-0.651,73,23,-206,30.1,1.34,BTU
0,-0.155,-0.183,-1.593,-0.662,65,176,-3,31.5,6.52,JXC1.F
0,0.000,0.000,0.000,0.000,65,176,-3,31.5,6.52,OWY.F
18,-0.119,-0.508,0.294,0.874,85,267,-80,42.7,0.80,SMCI
82,0.174,0.157,-0.417,-0.605,70,33,-152,26.1,0.00,BH3.F
0,-0.043,-0.582,-0.441,-0.194,71,247,0,27.0,1.59,ENVX
33,-0.134,0.276,-1.304,-1.434,74,140,-64,10.8,2.19,AMR
44,0.103,-0.466,0.097,0.703,54,37,-58,67.8,0.77,CALM
56,0.133,0.371,-1.053,-2.629,37,28,-24,24.5,-1.00,C9X0.HM
53,-0.149,0.311,0.321,0.011,75,58,-156,61.9,0.92,NEOG
12,-0.179,-0.157,0.148,0.977,88,594,-21,65.4,0.32,VERU
37,-0.052,-0.432,-0.201,-2.069,59,85,-33,40.5,3.66,SIGA
25,-0.056,0.243,-0.407,-0.000,100,13,-5,49.8,1.18,^CRWDBOOK
89,0.179,0.153,-0.271,0.223,29,2,-38,46.1,0.44,ESGU
100,0.121,0.130,1.015,0.354,8,0,-8,79.5,0.69,MBB
99,0.178,0.201,0.178,0.200,35,0,-54,74.9,1.15,EFV
91,0.176,-0.251,0.638,1.840,5,1,-5,71.4,0.40,STIP
93,0.180,0.170,-0.109,0.263,29,1,-39,45.7,1.21,IWV
100,0.166,0.160,0.193,0.303,33,0,-50,75.4,2.43,SCZ
99,0.149,0.154,0.277,0.234,27,0,-37,66.6,0.74,EFG
69,-0.011,-0.028,1.871,-0.377,2,0,-2,73.3,0.83,FLOT
96,0.180,0.194,0.009,0.663,100,8,-222,51.4,2.30,SANN.MX
0,0.000,0.000,0.000,0.000,100,8,-222,51.4,2.30,TEFO.BA
100,0.056,0.106,1.222,0.407,44,0,-79,86.7,-1.00,MV90.F
96,0.106,0.190,0.026,-0.057,62,5,-149,54.5,0.68,CX
88,0.143,0.197,-0.166,-1.537,93,20,-1130,34.8,0.20,TV.BA
73,0.169,0.054,-0.250,-0.194,71,22,-183,44.7,0.95,TSLA
95,0.068,0.274,0.397,3.114,31,6,-37,63.3,0.28,F.MX
72,0.110,0.080,0.595,0.000,49,25,-57,100.0,0.00,LVS.MX
26,-0.080,-0.077,-0.319,-0.000,100,462,-23,0.0,-1.00,^CLTBWOWOM
49,0.041,0.147,-0.400,-8.080,60,52,-64,38.7,1.37,FSLR
31,0.076,-0.323,0.013,0.954,39,26,-32,60.2,0.25,BRKB.MX
36,-0.179,0.261,-0.210,2.583,44,46,-22,37.1,1.07,WU
96,0.045,0.537,-0.178,0.326,39,4,-59,42.2,1.08,GAP
93,0.190,0.170,0.654,-0.549,59,6,-130,60.4,1.23,RL
0,-0.177,-0.470,-0.078,-0.526,62,164,0,35.3,4.75,HAR.F
0,-0.092,-0.643,-0.129,-0.000,65,164,-9,17.3,0.00,TRIP.MX
79,0.163,0.066,-0.382,0.000,43,8,-63,0.0,0.00,EA.MX
66,0.168,0.052,-0.914,-0.217,58,25,-93,35.0,1.35,URBN
2,-0.180,-0.182,-0.180,0.211,58,124,-6,44.7,0.85,ADBE
60,0.150,-0.508,0.203,4.137,59,39,-75,69.8,3.88,NFLX
97,0.147,-0.095,0.684,1.074,54,7,-104,77.6,1.26,MSI.BA
97,0.123,0.196,0.086,-0.137,90,6,-816,48.8,0.93,WDC
92,0.077,0.207,-0.000,0.000,77,0,-337,100.0,-1.00,MTE.BE
40,-0.133,0.243,-0.196,1.263,66,97,-49,50.3,0.84,ANF
72,0.050,0.357,-0.880,0.937,30,12,-28,41.2,0.41,AGNC.MX
7,0.068,-0.656,-0.456,-0.400,49,75,-13,0.0,0.00,ADSK.MX
32,0.145,-0.498,-0.429,0.394,66,126,-31,52.1,1.27,ORCL
99,0.029,0.437,0.185,-0.189,38,1,-60,64.2,1.53,LMT
75,0.170,0.095,0.190,-3.674,63,17,-133,41.1,1.71,NVDA
99,-0.026,0.850,0.191,-0.029,49,0,-95,68.7,1.43,FDX
36,0.095,-0.337,-1.733,1.160,73,113,-76,30.6,1.04,CAR
85,0.071,0.156,-0.519,-1.366,53,31,-62,9.7,0.62,BIDU
85,0.015,0.445,0.778,1.937,37,18,-35,46.2,0.71,SBUX
84,0.058,0.600,0.423,-0.000,33,5,-43,0.0,0.00,AMGN.MX
4,0.088,-0.424,-1.391,-1.040,37,54,-4,20.1,1.15,CHKP
12,-0.004,-0.625,0.044,-5.273,39,48,-11,44.4,2.20,MOSC34.SA
25,-0.132,0.090,0.820,0.334,37,33,-19,67.4,0.18,DP5.SG
21,-0.188,0.116,-0.219,-0.183,53,72,-24,42.1,1.18,STZ
75,0.183,0.139,-1.139,-0.560,85,87,-260,21.9,1.09,LMND
94,0.147,0.285,2.337,-0.219,34,5,-46,63.6,-1.00,T12.DU
36,-0.150,0.176,-0.923,-0.251,90,276,-164,25.3,1.47,FTRE
0,0.000,0.000,0.000,0.000,-nan,-1,-1,100.0,-1.00,EBT-USD
12,0.074,-0.615,-0.366,1.584,39,50,-9,53.0,0.00,1Q5.SG
24,-0.087,-0.370,-0.222,2.846,44,42,-25,48.7,0.48,ETSY.VI
0,0.005,0.046,0.110,2.639,100,316,0,50.0,0.00,WIXN.MX
91,0.113,0.290,-0.436,2.557,47,10,-71,46.4,0.00,RY4D.SG
7,-0.085,-0.515,-0.143,0.486,69,140,-33,64.3,0.41,ACB
76,-0.117,0.323,2.003,0.354,48,33,-45,73.4,0.70,SMG
0,0.000,0.000,0.000,0.000,48,33,-45,73.4,0.70,CARA
97,0.151,0.161,0.146,-0.417,57,9,-113,47.4,1.26,PHIN
30,-0.135,-0.337,-0.202,3.010,100,616,-79,52.0,0.46,0SZI.L
80,-0.010,0.076,1.167,-0.283,50,28,-55,53.3,0.00,7CI.F
50,-0.147,-0.005,0.833,-0.131,77,226,-33,59.0,0.56,XIFR
97,-0.025,0.720,0.109,0.448,65,10,-162,56.2,1.79,ALB-PA
95,0.064,0.419,-0.149,-0.390,57,13,-105,48.1,-1.00,FDN.MU
40,0.138,-0.393,0.148,-0.758,79,89,-152,46.3,0.03,3CP.MU
4,-0.102,-0.330,-0.383,0.217,70,169,-24,35.3,0.83,BYSI
0,0.000,0.000,0.000,0.000,70,169,-24,35.3,0.83,2HQ.HM
23,0.041,-0.376,-2.416,0.424,62,84,-42,27.9,0.00,LY0.F
1,-0.075,-0.575,-0.141,0.040,69,181,-15,34.2,0.38,PINS.MX
0,0.000,0.000,0.000,0.000,69,181,-15,34.2,0.38,LV2B.DU
18,0.098,-0.687,-1.114,1.262,38,34,-21,54.2,0.69,UT8.DE
8,-0.191,-0.199,0.051,0.849,94,1061,-55,64.6,0.93,0Q3.DE
48,-0.082,0.081,1.576,4.817,71,83,-89,64.9,0.98,CAVA
98,0.022,0.409,0.166,0.605,80,7,-359,68.8,1.02,LAR.TO
39,0.003,-0.576,-0.384,3.468,100,69,-47,49.0,0.92,0HRR.L
45,-0.049,0.113,1.524,-4.373,38,25,-29,47.7,0.00,CNHI.VI
0,-0.159,0.023,-0.870,-1.149,60,146,-2,29.9,1.54,SDHC
99,0.198,0.158,0.681,0.120,76,2,-302,71.9,1.58,AHR
100,0.143,0.030,0.918,0.383,57,0,-134,71.5,19.27,NATL
82,-0.060,0.465,0.446,0.158,28,13,-23,50.3,1.98,BAS.DE
5,0.074,-0.477,-0.103,-0.057,41,64,-4,45.6,0.73,SAP.DE
94,0.063,0.358,-0.155,-0.294,62,17,-123,32.8,0.88,BAYN.DE
95,0.190,0.204,-0.045,0.446,42,3,-68,43.6,0.73,ALIZY
0,-0.006,0.000,0.000,0.000,100,0,-50,100.0,-1.00,EOANN.MX
63,-0.101,0.440,0.131,0.322,39,30,-27,55.4,1.67,MBG.DE
96,0.115,0.024,2.267,1.313,42,5,-64,73.3,2.31,DTE.DE
88,0.176,0.179,0.989,-2.189,75,10,-263,51.7,0.77,AS
62,-0.052,0.315,-0.309,-0.362,37,27,-26,50.8,1.31,VOW3.DE
91,0.131,0.187,-0.000,-0.000,40,3,-61,100.0,-1.00,RWE.BE
9,-0.058,-0.203,0.000,-0.000,37,45,-10,100.0,-1.00,ADSN.MX
99,0.085,0.603,0.114,0.107,100,2,-54,46.4,2.61,DHL.DE
83,0.184,-0.027,0.000,-0.000,54,4,-110,100.0,-1.00,FSNUF
80,-0.095,0.224,2.024,1.256,24,5,-26,66.9,0.14,HEN3.MU
66,0.116,-0.239,1.247,3.496,39,28,-29,69.2,3.60,DB1.F
89,0.150,0.058,-0.317,-1.369,79,24,-278,38.8,0.00,TKA.HA
99,0.083,0.615,0.344,0.192,49,2,-92,78.5,0.05,IFX.DU
89,0.021,0.563,0.499,0.939,40,12,-49,66.1,0.72,SDF.DE
92,0.190,0.146,-0.815,2.286,74,7,-264,42.9,0.00,CRZBF
62,-0.142,0.465,0.280,0.194,40,30,-27,65.3,0.90,MKGAF
33,-0.174,0.150,0.539,-0.680,36,25,-25,61.5,0.18,BDRFY
82,0.085,0.433,0.945,0.413,34,7,-41,56.8,1.44,CON.DE
12,-0.094,-0.180,0.170,0.023,52,75,-19,47.9,0.40,LXS.F
24,-0.055,-0.541,0.234,0.000,50,64,-23,46.3,0.00,BOSSY
82,0.114,0.534,0.000,-0.000,37,7,-47,100.0,-1.00,ACR.BE
99,0.159,0.325,0.109,0.113,35,2,-50,58.9,0.28,XCA.SG
0,0.000,0.000,0.000,0.000,35,2,-50,58.9,0.28,US0091262024.SG
75,0.151,-0.012,-0.212,-0.152,43,20,-46,41.1,1.29,AIR.PA
97,0.167,0.339,0.145,-0.396,61,5,-142,48.8,0.00,ALSO.VI
94,0.016,0.208,-0.302,1.271,100,7,-52,47.0,0.83,ALCTL.IS
70,0.176,-0.119,1.121,-0.651,29,10,-27,61.3,0.63,BSN.F
99,0.148,0.294,0.133,0.040,43,2,-73,54.3,1.43,BNP.VI
94,-0.111,0.670,1.630,1.511,30,6,-35,63.8,0.34,0NPH.IL
26,-0.179,0.239,-0.000,-0.000,48,59,-20,100.0,-1.00,CGM.BE
99,0.123,0.274,1.036,0.085,32,1,-45,81.5,1.07,SQU.F
0,0.000,0.000,0.000,0.000,32,1,-45,81.5,1.07,ELP.XD
95,0.131,0.285,-0.000,-0.000,44,0,-79,100.0,0.00,BOUYF
0,0.000,0.000,0.000,0.000,44,0,-79,100.0,0.00,TTEN.MX
97,0.032,0.340,0.446,0.085,49,4,-88,53.0,0.04,0RH5.IL
100,0.167,0.334,0.175,0.383,60,4,-141,62.8,1.15,ENGQF
0,0.000,0.000,0.000,0.000,60,4,-141,62.8,1.15,KERP.XD
98,0.145,0.012,0.585,0.000,48,0,-93,100.0,0.00,LGRVF
73,0.123,-0.069,-0.805,0.298,100,62,-22,45.3,0.02,^CLTBLOUIS
99,0.163,0.216,0.190,0.017,67,3,-191,61.1,0.80,MTS.MC
74,-0.070,0.115,0.432,-0.832,30,16,-24,57.9,0.60,ORP.XC
2,-0.151,0.015,-0.786,0.011,35,44,-7,33.3,10.45,PU41.F
10,-0.192,-0.226,0.776,-1.754,54,106,-6,60.0,0.00,RIP.XC
4,-0.138,-0.123,0.265,0.028,43,67,-5,58.9,0.57,RNL.DE
99,0.184,0.165,0.664,-0.085,46,2,-81,63.5,0.60,SEJ1.DE
12,-0.113,-0.111,-0.056,1.545,30,34,-7,57.1,0.00,SNW.HM
46,0.123,-0.202,0.549,-1.958,36,24,-26,35.2,-1.00,GOB.HA
28,-0.107,-0.031,1.001,2.653,42,41,-21,60.4,0.00,SOL.DU
100,0.064,0.227,0.621,0.544,33,0,-48,69.1,1.56,SU.PA
0,0.000,0.000,0.000,0.000,33,0,-48,69.1,1.56,UNIRF
100,0.057,0.584,0.371,0.198,26,0,-36,95.7,0.00,VVD.HA
44,0.139,-0.468,-0.236,-0.989,69,131,-38,52.2,1.79,VVVNF
90,0.160,0.175,-0.409,0.255,45,5,-73,37.7,0.24,0MHJ.IL
0,0.000,0.000,0.000,0.000,45,5,-73,37.7,0.24,BPEM.XD
79,0.175,0.113,0.155,-0.294,43,11,-59,54.7,2.42,BZUM.XC
52,-0.083,-0.259,1.698,3.039,100,298,-19,51.4,10.25,STLAPP.XC
95,0.179,0.116,0.344,-0.792,67,6,-187,58.2,6.39,LDO.VI
88,0.190,0.105,0.000,-0.000,46,0,-85,100.0,-1.00,ARZGF
0,-0.198,0.000,0.000,0.000,100,13,-24,100.0,-1.00,LUX
81,-0.067,0.167,3.693,8.472,34,19,-27,71.2,0.00,MOV0.F
0,0.000,0.000,0.000,0.000,34,19,-27,71.2,0.00,MFEAM.XD
98,0.187,0.198,0.169,-0.209,69,5,-205,60.4,0.77,TQI.F
100,0.179,0.285,0.263,0.317,29,0,-41,72.8,-1.00,TRN.VI
29,-0.095,-0.031,-0.136,-0.231,100,1817,-34,50.0,-1.00,^CLTBAZUKI
100,0.193,0.198,0.241,0.213,66,0,-195,70.7,2.11,ACS.MC
87,0.158,0.077,-0.000,0.000,48,8,-76,100.0,-1.00,AJ3.BE
91,0.170,0.200,-0.317,-0.360,65,13,-150,40.2,0.83,BBVA
94,0.185,0.182,-0.185,-0.589,59,4,-136,40.6,1.31,BKT.MC
92,0.135,0.794,-0.341,-1.510,100,9,-133,46.9,1.18,BYMAD.BA
94,0.191,0.197,-0.234,-0.954,63,8,-147,40.2,2.02,CABK.MC
99,0.192,0.213,0.376,0.904,55,2,-116,66.1,1.97,ELE.MC
100,0.016,0.395,1.051,0.269,24,0,-32,76.7,1.32,ENG.MC
58,-0.091,0.055,1.241,0.379,41,29,-33,64.9,0.24,0HAA.IL
100,0.189,0.186,0.264,0.286,47,0,-90,59.0,0.82,FER.AS
76,0.160,-0.119,-0.915,3.211,30,6,-35,49.3,1.91,NTGY.MC
78,0.134,-0.158,-0.086,0.000,51,16,-76,37.0,0.00,GIKLY
55,0.170,-0.194,-0.606,0.229,86,86,-272,54.0,0.72,RDDT
98,0.189,0.274,0.154,0.202,48,1,-91,61.0,1.22,IBE.MC
100,0.171,0.234,0.202,1.006,78,0,-363,78.3,1.65,ISMAY
95,0.067,0.678,0.319,-0.871,30,3,-39,45.5,0.07,0QWI.IL
85,0.189,0.033,0.206,-0.494,54,9,-100,48.1,1.17,MAP.MC
72,0.154,0.345,-1.084,5.058,44,16,-55,41.0,2.13,SOLV
76,0.059,-0.321,0.865,1.330,52,33,-57,68.2,4.89,OHLA.MC
0,0.000,0.000,0.000,0.000,52,33,-57,68.2,4.89,US7565681019.SG
100,0.056,0.263,0.356,0.196,50,0,-98,80.2,1.22,REP.MC
99,0.200,0.205,0.200,0.125,84,1,-507,72.8,0.12,Y5C.SG
100,0.134,0.236,0.254,0.365,39,0,-64,73.8,1.29,SCYR.MC
1,0.014,-0.341,-0.230,0.171,68,183,-10,42.8,0.78,KVYO
100,0.184,0.121,0.320,0.090,81,0,-422,80.2,3.52,TRE.MC
