initial date: 2024-03-01, Fecha actual: 2026-03-01
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),rsi14,relVol30,etiqueta
95,0.137,0.098,-0.093,-0.093,100,2,-15,33.6,-1.00,EURUSD=X
81,0.136,0.113,-0.766,-1.062,100,3,-11,29.5,-1.00,GBPUSD=X
59,-0.090,0.252,-0.545,-0.170,100,6,-8,35.8,-1.00,NZDUSD=X
20,0.054,-0.416,0.352,-0.766,100,8,-2,63.0,-1.00,CAD=X
80,-0.009,0.395,-0.214,2.808,100,4,-11,49.5,-1.00,JPY=X
2,-0.158,-0.121,-0.077,-0.263,100,20,-1,50.4,-1.00,CHF=X
99,-0.000,0.414,0.156,0.213,100,0,-20,54.6,-1.00,AUDUSD=X
93,0.104,-0.031,1.059,0.016,100,1,-6,63.0,-1.00,EURGBP=X
1,-0.155,-0.190,-0.180,-0.317,100,10,0,32.4,-1.00,EURCHF=X
96,0.109,0.158,-0.175,1.206,100,1,-18,40.1,-1.00,EURJPY=X
92,0.106,0.219,-0.365,0.274,100,2,-14,37.3,-1.00,GBPJPY=X
45,0.138,-0.321,-0.510,-0.954,100,11,-4,34.3,-1.00,EURAUD=X
73,0.169,-0.155,-0.044,-1.242,100,2,-10,39.8,-1.00,EURCAD=X
100,-0.005,0.491,0.141,0.328,100,0,-28,51.2,-1.00,AUDJPY=X
87,-0.030,0.509,-0.325,1.680,100,4,-12,42.4,-1.00,CADJPY=X
99,0.143,0.165,0.009,0.619,100,0,-22,46.5,-1.00,CHFJPY=X
51,-0.172,0.041,0.665,0.215,100,26,-23,69.2,0.33,BZ=F
99,0.194,0.191,0.155,0.227,100,2,-151,62.4,0.26,GC=F
98,0.186,0.189,0.082,0.431,100,24,-300,65.1,3.72,SI=F
99,0.142,0.404,-0.047,0.896,100,3,-56,55.8,3.51,HG=F
36,0.137,0.147,-2.120,-2.126,100,161,-82,24.2,0.70,NG=F
0,0.000,0.000,0.000,0.000,100,161,-82,24.2,0.70,^UUP-IV
87,0.123,-0.201,1.141,0.651,100,2,-24,61.2,0.11,^CLTBDIOOR
