initial date: 2024-02-16, Fecha actual: 2026-02-16
percentil(%) , pendent2y, pendent6m, slope1m, slope6d, volatilitat(%) , guany esperat(%) , perdua max(%) , etiqueta
6,-0.110,-0.123,-0.192,-0.361,100,16,-6,EURILS=X
3,-0.054,-0.309,-0.003,0.033,100,22,-4,COP=X
3,-0.038,-0.748,-0.181,0.071,100,18,-1,CLP=X
75,0.121,0.322,-0.508,-3.361,100,3,-10,KRW=X
16,0.014,-0.068,-0.580,0.131,100,21,-6,BRL=X
85,0.070,0.110,1.894,5.338,77,151,-75,^VIX
83,0.135,0.235,0.801,-2.806,42,12,-55,AAPL
89,0.149,0.189,-0.284,-1.531,62,13,-131,GOOG
62,0.164,-0.278,0.676,-1.966,46,23,-49,META
11,0.113,-0.404,-3.522,-1.211,35,35,-13,MSFT
43,0.156,0.051,-2.687,-2.349,37,28,-23,AMZN
95,0.020,0.653,1.078,-0.294,100,11,-156,0HCB.L
90,0.156,0.299,-0.000,-0.000,38,0,-62,AEC1D.XC
97,0.108,0.039,-0.205,-0.274,45,4,-73,BA.NE
0,0.000,0.000,0.000,0.000,45,4,-73,MER-PK
88,0.121,0.212,0.000,-0.000,54,9,-102,CAT1.BE
86,0.185,0.284,0.606,-3.549,48,13,-71,CSCO.MX
100,-0.008,0.152,0.276,0.149,28,1,-37,CVX
37,0.060,-0.280,-1.482,-1.754,34,18,-29,DIS
99,-0.032,0.670,1.001,4.379,27,1,-35,49P.F
50,-0.040,-0.492,0.328,3.259,30,23,-15,HD.VI
63,0.065,-0.151,1.353,-3.197,51,22,-68,2HP.DU
70,0.186,0.268,-0.704,-4.869,48,20,-60,IBM
96,0.017,0.379,0.035,-0.669,67,16,-158,INTC
100,0.133,0.191,0.199,0.143,42,0,-71,JNJ
80,0.193,0.116,-0.092,-3.365,63,16,-133,JPM.BA
94,0.091,0.408,-0.139,-0.376,34,6,-44,EMBONOR-B.SN
98,0.180,0.157,0.603,0.006,44,3,-74,MCD.BA
99,0.190,0.138,0.624,0.189,56,2,-125,MMM
98,-0.038,0.612,0.556,0.018,55,6,-110,MRK.BA
71,-0.130,0.255,1.575,0.766,31,14,-28,PFE
39,-0.118,-0.127,1.953,2.120,23,12,-16,PG
0,-0.160,-0.300,-0.286,-0.223,87,650,-7,ATOS
96,0.141,0.221,2.694,-0.447,27,2,-35,PA9.DU
7,-0.132,-0.071,-1.617,0.766,62,113,-23,UNH
0,0.000,0.000,0.000,0.000,62,113,-23,^RTX
2,-0.081,-0.477,-0.000,0.000,22,25,-3,BAC.BE
100,0.192,0.233,0.181,0.114,58,0,-136,WMT
99,0.007,0.607,0.198,-0.040,36,5,-49,XOM
91,0.185,0.179,0.055,-2.006,56,12,-102,C
0,0.002,0.056,2.197,2.801,100,13,-19,HMCN.MX
44,-0.052,-0.061,0.476,1.024,35,19,-30,MUF.MU
29,0.106,-0.366,0.043,-1.505,28,25,-11,MAST.VI
10,-0.169,-0.270,-0.516,-0.761,52,85,-13,1NKE.MI
55,-0.128,0.088,2.511,-1.118,33,22,-22,PEPB34.SA
44,0.163,-0.401,-0.392,0.379,47,33,-42,SONA.SG
89,-0.065,0.431,0.528,0.085,42,13,-52,TOMA.SG
43,0.150,-0.145,-0.029,-1.880,32,19,-24,V
99,0.151,0.181,0.217,0.147,45,1,-82,VODJ.SG
0,0.081,-0.003,-2.676,8.263,100,2,-27,0P00001487.F
6,-0.165,-0.209,0.095,-0.283,47,81,-4,COLPAL.NS
75,0.190,-0.069,-1.021,-1.891,57,22,-90,EBAY
92,0.193,0.200,0.000,-0.000,89,4,-793,ENR.BE
1,-0.063,-0.401,-0.611,-0.120,56,117,-6,OWL
30,0.124,-0.342,-0.167,-2.571,14,9,-8,LBRDP
1,-0.061,-0.364,-0.862,-0.254,53,106,-3,TTAN
98,0.014,0.764,-0.378,1.497,41,3,-63,OPCH
25,-0.094,0.195,0.000,0.000,63,99,-35,0L8.BE
44,-0.157,0.240,0.260,-0.051,49,37,-45,1GSN.SG
58,0.144,0.031,-1.769,0.280,39,18,-39,PRVA
96,0.019,0.545,-0.101,-0.634,73,13,-234,BTU
1,-0.155,-0.112,-2.187,-2.880,60,148,-2,JXC1.F
0,0.000,0.000,0.000,0.000,60,148,-2,OWY.F
9,-0.121,-0.479,0.148,-3.811,85,289,-70,SMCI
85,0.175,0.273,-0.207,-0.588,70,30,-157,BH3.F
1,-0.036,-0.532,-1.043,-1.246,70,209,-8,ENVX
44,-0.139,0.324,-1.390,-2.406,78,138,-87,AMR
39,0.113,-0.549,0.309,0.514,54,43,-51,CALM
79,0.128,0.524,-0.957,-1.606,37,18,-35,C9X0.HM
52,-0.155,0.286,0.505,0.137,75,62,-149,NEOG
2,-0.171,-0.153,-0.560,-0.606,88,682,-7,VERU
51,-0.039,-0.489,0.135,0.960,59,76,-40,SIGA
0,-0.046,0.232,-1.308,-4.944,100,12,-7,^CRWDBOOK
88,0.179,0.171,-0.187,-1.720,29,2,-37,ESGU
99,0.120,0.146,0.331,2.371,8,0,-8,MBB
99,0.178,0.190,0.204,0.091,35,1,-53,EFV
84,0.177,-0.290,1.438,0.411,5,1,-5,STIP
92,0.180,0.178,-0.106,-1.389,29,2,-38,IWV
99,0.165,0.149,0.172,0.126,33,1,-48,SCZ
99,0.147,0.148,0.122,0.274,27,1,-36,EFG
49,-0.018,-0.211,-1.257,1.046,2,0,-2,FLOT
92,0.178,0.162,1.111,-0.680,100,13,-212,SANN.MX
0,0.000,0.000,0.000,0.000,100,13,-212,TEFO.BA
99,0.040,0.132,1.235,2.993,41,1,-68,MV90.F
97,0.095,0.199,-0.043,0.046,62,5,-150,CX
97,0.146,0.222,0.029,0.391,93,7,-1274,TV.BA
79,0.170,0.158,-0.592,0.309,71,17,-194,TSLA
93,0.061,0.299,-0.149,1.400,31,7,-36,F.MX
64,0.106,0.120,-1.165,-0.171,49,28,-55,LVS.MX
0,-0.083,-0.114,0.083,-4.084,100,559,-31,^CLTBWOWOM
71,0.043,0.246,-0.831,0.829,60,33,-87,FSLR
28,0.089,-0.248,0.025,-0.491,39,27,-30,BRKB.MX
34,-0.182,0.244,0.760,-1.777,44,47,-22,WU
95,0.045,0.587,0.368,-1.023,39,5,-57,GAP
98,0.188,0.186,-0.208,1.937,58,1,-135,RL
1,-0.176,-0.453,-0.141,-0.226,61,144,-6,HAR.F
0,-0.092,-0.666,-0.086,-0.029,65,188,0,TRIP.MX
85,0.164,0.111,0.000,-0.000,43,0,-75,EA.MX
76,0.167,0.040,0.196,-1.846,58,18,-104,URBN
0,-0.179,-0.175,-0.174,-0.154,56,122,-3,ADBE
36,0.158,-0.485,-0.432,-0.651,59,74,-40,NFLX
94,0.147,-0.122,0.407,1.104,55,11,-101,MSI.BA
99,0.121,0.199,0.161,-0.029,89,3,-822,WDC
94,0.077,0.301,-0.000,-0.000,77,0,-337,MTE.BE
32,-0.132,0.198,-0.551,-1.006,66,105,-43,ANF
71,0.057,0.385,-1.194,-1.086,30,12,-28,AGNC.MX
9,0.087,-0.512,-1.279,-0.440,49,65,-20,ADSK.MX
42,0.155,-0.378,-1.912,1.549,67,105,-48,ORCL
100,0.028,0.458,0.405,0.206,37,0,-59,LMT
86,0.171,0.096,0.004,-0.754,67,13,-171,NVDA
100,-0.034,0.849,0.305,0.120,47,0,-89,FDX
62,0.098,-0.242,-0.401,-0.543,73,75,-113,CAR
93,0.059,0.293,-0.263,-0.680,53,19,-78,BIDU
67,0.005,0.291,0.643,-4.057,37,23,-29,SBUX
86,0.058,0.551,1.690,-1.783,33,5,-43,AMGN.MX
21,0.105,-0.272,-0.640,-2.491,37,36,-17,CHKP
39,0.003,-0.710,1.581,2.794,39,36,-21,MOSC34.SA
22,-0.121,-0.050,0.621,1.624,37,36,-16,DP5.SG
18,-0.188,0.037,0.137,-1.354,53,82,-17,STZ
86,0.183,0.166,-0.615,-0.886,85,51,-343,LMND
92,0.147,0.151,-0.909,4.602,34,7,-43,T12.DU
27,-0.154,0.229,-0.806,-2.840,90,311,-141,FTRE
0,0.000,0.000,0.000,0.000,-nan,-1,-1,EBT-USD
6,0.090,-0.433,-1.416,-1.058,39,54,-7,1Q5.SG
2,-0.089,-0.273,-2.927,-7.525,48,82,-5,ETSY.VI
0,0.002,0.061,-0.245,7.939,100,278,0,WIXN.MX
85,0.100,0.244,-0.423,-2.003,47,14,-65,RY4D.SG
5,-0.066,-0.446,-0.982,-0.137,69,160,-23,ACB
67,-0.117,0.122,1.036,2.200,48,37,-42,SMG
0,0.000,0.000,0.000,0.000,48,37,-42,CARA
100,0.151,0.113,0.201,0.143,60,3,-141,PHIN
18,-0.134,-0.231,-0.457,-0.379,100,686,-63,0SZI.L
66,-0.018,0.063,-0.349,-0.441,50,34,-48,7CI.F
51,-0.152,-0.069,0.716,1.766,77,220,-36,XIFR
96,-0.039,0.751,-0.140,-0.117,65,16,-147,ALB-PA
99,0.059,0.549,0.062,0.764,57,7,-117,FDN.MU
47,0.146,-0.369,-0.083,0.764,79,79,-167,3CP.MU
3,-0.082,-0.222,-1.199,-0.623,71,186,-19,BYSI
0,0.000,0.000,0.000,0.000,71,186,-19,2HQ.HM
15,0.043,-0.063,-2.424,-8.492,62,92,-36,LY0.F
0,-0.062,-0.659,-0.252,-0.257,68,214,0,PINS.MX
0,0.000,0.000,0.000,0.000,68,214,0,LV2B.DU
4,0.108,-0.554,-3.096,-2.320,38,44,-12,UT8.DE
1,-0.191,-0.187,-0.362,-0.187,95,1579,-20,0Q3.DE
20,-0.068,-0.036,-0.210,-3.400,71,138,-46,CAVA
96,0.008,0.451,-0.241,0.091,80,24,-294,LAR.TO
34,0.002,-0.402,0.464,-2.908,100,72,-44,0HRR.L
60,-0.055,-0.145,2.178,1.884,38,18,-36,CNHI.VI
19,-0.157,0.013,-1.634,0.903,60,109,-20,SDHC
100,0.198,0.148,0.499,0.886,75,0,-298,AHR
100,0.142,-0.028,0.678,0.371,55,0,-123,NATL
94,-0.075,0.198,2.584,2.931,28,8,-29,BAS.DE
7,0.096,-0.406,-1.628,-0.781,42,63,-6,SAP.DE
99,0.046,0.327,0.135,-0.062,60,2,-144,BAYN.DE
91,0.190,0.152,0.202,-1.834,42,6,-64,ALIZY
0,-0.006,0.000,0.000,0.000,100,0,-50,EOANN.MX
52,-0.112,0.432,0.149,-2.207,39,33,-24,MBG.DE
86,0.117,-0.218,2.624,4.192,42,11,-55,DTE.DE
98,0.174,0.079,0.896,1.594,75,4,-280,AS
68,-0.065,0.228,0.335,1.352,37,25,-28,VOW3.DE
93,0.129,0.229,-0.000,-0.000,40,3,-61,RWE.BE
