initial date: 2024-02-16, Fecha actual: 2026-02-16
percentil(%) , pendent2y, pendent6m, slope1m, slope6d, volatilitat(%) , guany esperat(%) , perdua max(%) , etiqueta
90,0.183,0.217,0.174,-1.874,46,11,-69,WFC
100,0.172,0.224,1.487,0.283,100,0,-113,0LXB.L
99,0.036,0.316,0.174,-0.103,49,2,-91,VLO
91,0.176,0.256,-0.041,-0.096,40,12,-49,ABG.F
29,0.124,-0.365,-0.291,-0.000,48,36,-42,KR.MX
92,0.165,0.249,-0.004,-0.429,57,10,-113,GM.MX
97,0.015,-0.009,2.119,-0.291,46,8,-71,MPC
97,0.199,0.223,0.164,-0.841,69,6,-207,CAH.BA
19,-0.176,0.131,-0.889,1.115,53,77,-21,ELV.VI
9,-0.174,-0.170,-0.096,1.143,83,405,-15,FMQ.MU
1,-0.140,0.094,-1.798,-0.158,45,77,-3,CHR.MU
78,-0.150,0.201,2.435,2.359,100,20,-36,0QZA.L
86,0.111,0.040,0.882,1.891,31,12,-29,ET
1,-0.160,-0.311,-1.939,-0.277,61,142,-5,HUM.SG
100,0.114,0.332,1.805,0.322,100,0,-33,0S23.L
100,0.133,0.077,0.592,0.304,43,0,-74,SYY.BA
1,-0.090,-0.278,0.000,-0.000,33,47,-2,WFK.BE
5,-0.105,-0.310,0.033,-2.777,46,57,-17,BBY
74,0.120,0.183,0.145,-3.909,52,20,-74,DAL.MX
93,0.163,0.156,0.132,-1.337,68,8,-189,UAL
57,-0.103,0.384,1.502,-2.885,29,14,-23,TSN.VI
100,0.131,0.271,1.427,0.187,39,1,-63,DEER.VI
22,-0.111,-0.432,-0.812,-0.731,19,17,-6,ALL-PH
24,-0.163,-0.213,0.794,-0.400,33,26,-19,CI
15,-0.176,-0.154,0.340,0.334,35,30,-18,KTF.MU
100,0.194,0.081,0.184,0.126,66,0,-198,SNEX
69,-0.142,0.456,0.442,1.469,44,14,-57,HAL.MX
94,0.103,0.160,-0.337,-1.531,34,6,-44,GD
91,0.170,0.252,-0.272,-0.481,36,5,-49,TJX.F
99,-0.067,0.047,5.686,-0.130,32,2,-44,VNI.DU
93,0.142,-0.037,0.023,10.586,26,4,-30,EXEC.VI
97,0.101,-0.180,1.494,1.151,54,7,-101,IP.BA
0,0.000,0.000,0.000,0.000,54,7,-101,QRTE.VI
51,-0.034,0.023,1.336,-2.063,6,2,-4,DUK-PA
97,0.157,0.189,1.280,-0.000,50,1,-97,BKR.MX
86,0.114,0.297,0.119,-1.929,38,11,-45,EMR.F
99,0.132,0.053,0.148,-0.322,34,3,-49,NTH.MU
63,-0.031,-0.077,-0.108,1.131,81,141,-124,NVAX
6,-0.149,-0.347,0.000,-0.000,34,32,-15,ARW.BE
67,0.060,0.118,1.620,-0.453,33,13,-33,AFL.SG
20,0.102,-0.465,-0.863,1.406,40,51,-12,ABT.MX
39,-0.088,0.182,0.125,4.028,63,95,-39,CG5.F
47,-0.033,0.140,0.886,0.668,50,41,-41,FLU.F
98,-0.009,0.562,0.106,0.149,46,3,-79,FCX.MX
98,0.116,0.274,1.347,-0.328,100,5,-57,0LHY.L
86,-0.099,0.519,0.611,0.311,51,18,-72,NUO.F
0,-0.130,-0.259,0.000,-0.000,38,59,-1,KMY.BE
0,0.000,0.000,0.000,0.000,38,59,-1,0J50.L
0,0.000,0.000,0.000,0.000,38,59,-1,US1651677353.SG
0,-0.195,-0.191,-0.231,-0.496,89,848,0,XRXB34.SA
3,-0.190,-0.168,0.201,-2.167,68,195,-5,MPW.F
6,-0.121,0.183,-2.630,-1.474,40,55,-8,DHR.MX
28,-0.141,-0.080,0.239,0.758,56,74,-30,WHR.HA
45,-0.134,0.096,0.103,-1.789,70,66,-104,PBF.MX
94,-0.041,0.031,2.301,-0.131,59,9,-126,DINO
91,0.009,0.964,-0.249,-0.443,100,8,-63,4LLY.TI
59,-0.155,0.180,1.814,2.097,37,18,-34,DVN.MX
9,0.044,-0.377,0.214,1.426,100,43,-9,0KOC.L
98,0.153,0.286,0.053,0.803,53,4,-106,CUM.F
66,-0.101,0.276,0.160,2.269,79,48,-224,KSS
50,-0.110,0.310,-0.000,-0.000,34,22,-25,PAE.BE
98,0.126,0.536,0.366,-0.246,53,6,-102,LUV.MX
99,0.098,0.155,1.648,0.577,31,1,-43,NSCO.VI
40,-0.131,0.257,0.524,-3.072,55,58,-40,GYT.VI
17,-0.062,-0.378,0.086,3.611,35,42,-8,EOG.MX
92,0.127,0.341,-0.501,0.811,92,41,-747,LUMN
99,0.180,-0.192,0.692,2.069,41,1,-69,MO
100,0.152,0.078,0.294,3.287,58,0,-138,THC1.F
16,-0.170,-0.162,0.934,0.521,100,57,-11,0R1X.L
86,-0.116,0.416,0.930,0.243,50,16,-74,LE6N.F
0,0.000,0.000,0.000,0.000,50,16,-74,X
51,0.011,-0.619,1.211,7.960,26,16,-16,UA9.F
63,-0.127,0.216,1.218,0.226,57,45,-62,AES.DU
59,0.027,-0.401,1.926,3.726,38,23,-31,GLP
68,0.057,0.394,-1.506,-3.634,53,29,-66,TMO.BA
19,-0.139,0.041,-0.000,-0.000,45,50,-22,PCG.BE
100,0.085,0.408,0.696,0.246,41,0,-71,NEE
2,-0.183,-0.146,-0.066,-2.291,63,158,-4,BTL.F
18,-0.168,0.186,-0.685,-0.000,70,129,-44,C1NC34.SA
92,0.190,0.192,-0.045,-1.652,53,9,-97,BONY.VI
98,0.165,0.203,0.021,0.272,60,5,-138,JBL.MU
70,0.106,-0.003,1.746,0.714,53,20,-77,KMI.MX
0,0.000,0.000,0.000,0.000,53,20,-77,ODP
98,0.017,0.618,1.402,-0.537,37,4,-53,BMY
79,0.180,-0.048,0.237,3.463,69,15,-182,NRA.F
86,-0.170,0.155,3.300,3.263,37,10,-43,PPG
70,-0.136,-0.127,1.561,0.085,39,23,-32,GPT.F
initial date: 2024-02-16, Fecha actual: 2026-02-16
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),etiqueta
0,-0.153,-0.063,-2.528,-0.823,36,53,-3,OMC
100,0.015,-0.062,2.062,0.189,27,0,-37,ITW
25,-0.093,0.228,-2.243,3.383,36,36,-14,MUSA
100,0.138,0.161,1.222,1.895,100,0,-38,0IPB.L
49,0.072,-0.057,0.359,4.102,34,23,-24,0AK.F
99,0.170,0.202,1.827,-0.221,100,3,-49,0JVI.L
99,0.171,-0.004,0.398,0.126,29,1,-39,ECL
49,0.075,-0.267,0.940,3.549,31,22,-20,WMI.MX
64,-0.142,0.252,0.464,1.926,49,21,-63,APA.MX
0,-0.184,0.000,0.000,0.000,30,43,0,T1XT34.SA
97,0.157,0.081,1.031,-0.680,44,7,-69,SNX
0,0.000,0.000,0.000,0.000,44,7,-69,US92556H1077.SG
86,0.160,0.027,0.747,0.685,100,14,-57,0JV3.L
0,0.000,0.000,0.000,0.000,100,14,-57,JWN.MX
38,-0.138,0.261,0.000,-0.000,51,65,-23,EIX.BE
91,0.050,0.434,0.363,-0.011,23,10,-19,TGR.MU
93,0.158,0.266,0.000,0.000,40,2,-65,PAR.BE
48,-0.109,-0.111,2.547,5.120,49,37,-43,TRL.SG
11,-0.136,-0.098,-0.118,-2.495,100,118,-29,0HTQ.L
92,-0.062,0.198,3.525,2.161,38,8,-50,TII.HA
0,-0.099,-0.168,-0.021,-0.900,37,56,-2,MSN.F
21,-0.015,-0.057,0.000,0.000,22,22,-6,EDC.BE
45,-0.033,0.119,0.547,3.045,48,51,-26,O1KE34.SA
93,-0.084,0.394,2.589,0.832,33,4,-44,CXR.F
100,0.194,0.127,0.573,0.200,52,0,-110,ETR
40,0.046,-0.286,0.386,2.829,32,8,-36,D.MX
34,0.073,-0.059,-1.527,-5.949,50,52,-31,JEF
27,0.085,-0.203,-0.155,-5.920,43,46,-20,AMP.MX
78,-0.015,0.472,0.575,-0.294,65,49,-95,VFC.VI
15,0.175,-0.317,-3.644,-4.493,46,47,-26,ADP.BA
0,0.006,0.499,-2.314,-22.482,100,0,-25,^CRWDLUXG
2,-0.186,-0.250,0.242,-1.880,52,103,-2,CDW
98,0.176,0.051,1.262,2.054,100,1,-68,0M1R.L
59,0.120,-0.220,-1.239,1.771,29,11,-27,PP9.MU
38,-0.186,0.129,0.442,0.407,73,120,-71,HTR.F
79,-0.136,0.205,1.604,0.731,49,21,-63,SWK
5,-0.176,-0.252,0.000,0.000,73,177,-34,LTD0.BE
55,-0.029,-0.139,0.854,2.388,29,22,-15,SJ3.SG
9,-0.129,-0.404,0.415,-0.737,14,13,-2,BKT
95,0.124,0.215,-0.135,-0.327,52,4,-102,ROST.BA
89,0.047,0.170,0.172,6.563,37,13,-41,SREN.VI
93,-0.127,0.642,0.654,-0.051,43,10,-59,SLB
92,0.175,0.201,0.117,-1.313,44,9,-63,ZYA.SG
44,0.151,0.152,-1.341,-1.789,42,16,-48,UNM
99,0.142,0.329,0.357,0.328,36,2,-52,HI91.F
63,-0.051,0.616,0.810,-6.936,28,11,-25,PG4.SG
37,-0.031,-0.303,1.788,0.911,39,38,-20,AP3.DU
56,0.108,0.264,-0.546,-7.157,32,20,-21,ZAS.MU
96,0.003,0.771,1.209,0.085,100,4,-26,0L3C.L
3,-0.138,-0.209,0.551,-1.309,36,42,-10,MGM.MX
76,-0.044,0.398,1.830,-1.358,32,22,-20,GWW.VI
15,0.099,-0.486,-1.537,-1.052,48,65,-18,GAV.F
87,0.081,0.345,0.997,-2.065,35,9,-41,BBK.F
64,-0.089,-0.380,2.291,2.710,66,62,-83,AWN.MU
94,0.074,0.309,0.000,-0.000,28,0,-38,ALLY1.MX
25,-0.062,-0.405,-0.000,-0.000,43,32,-33,AGJ.BE
100,0.187,0.177,0.212,0.177,77,0,-332,GLW
53,0.101,-0.420,0.330,3.680,22,10,-16,SYK
1,-0.167,-0.048,-1.563,0.034,71,210,-10,MOH
0,0.000,0.000,0.000,0.000,71,210,-10,DC7.BE
94,0.177,0.024,1.374,-0.023,37,4,-54,GNW
32,-0.149,0.042,0.709,1.856,51,51,-36,EAC.F
71,0.142,-0.537,0.500,4.900,32,14,-29,AZO.VI
2,-0.192,-0.197,0.000,0.000,92,1012,-8,6OM.BE
7,-0.176,-0.096,-0.324,-2.569,45,67,-9,HRL.VI
55,0.040,-0.156,2.006,-2.909,79,107,-135,GME
100,0.175,0.099,1.559,0.554,100,0,-65,0HVF.L
11,0.079,-0.659,-1.322,-0.585,41,49,-14,SA8A.DU
12,-0.038,-0.292,0.726,0.171,59,94,-26,CHTR.MX
98,0.135,0.273,1.630,-0.119,100,5,-53,0I4X.L
100,0.013,0.694,0.069,0.286,64,0,-180,AMAT
89,0.162,0.048,0.000,0.000,44,1,-77,RF6.BE
25,0.080,-0.380,0.000,-0.000,28,27,-9,RPU.BE
95,0.063,0.319,1.278,3.989,37,4,-53,UHS
78,0.111,-0.036,0.092,-1.431,35,9,-41,DDN.F
99,0.037,0.716,0.241,0.068,44,4,-74,SD5.F
100,0.118,0.418,2.101,0.317,100,0,-133,0LD9.L
82,-0.021,0.352,-0.561,0.803,59,30,-87,DT3.SG
3,-0.130,-0.666,-0.247,0.023,89,460,-67,PVGB.F
0,0.011,0.037,0.513,0.000,100,19,-31,BALL.MX
50,-0.122,-0.168,1.075,2.665,35,23,-25,MSQ.DU
93,0.014,0.126,1.647,-0.351,100,5,-61,0RT6.L
8,-0.148,0.001,-2.556,1.629,48,63,-18,BOX.F
8,-0.170,-0.239,0.416,0.515,52,89,-11,CSC.SG
0,0.075,-0.804,0.370,-4.470,35,53,0,E6Z.DU
49,-0.069,-0.638,1.258,1.528,47,26,-49,VS51.SG
84,0.027,0.078,1.476,-0.928,72,30,-171,DEH.F
96,-0.040,0.721,0.821,2.495,32,2,-45,DOV.MU
100,0.090,0.148,0.220,0.215,60,1,-150,BGW.MU
95,0.161,0.431,0.004,1.799,40,6,-58,3U6.DU
51,-0.153,0.295,-0.053,2.161,61,61,-58,MUQ.DU
8,-0.169,-0.337,0.169,1.064,61,126,-12,PVH.F
23,-0.090,-0.491,-0.000,0.000,44,45,-24,HO2.BE
35,-0.166,0.034,-0.163,1.024,45,46,-24,WHC.DU
100,0.181,0.198,0.200,0.166,68,1,-211,FTI
0,0.000,0.000,0.000,0.000,68,1,-211,SPTN
99,0.129,0.276,0.158,-0.028,55,4,-115,WP7.F
99,0.166,0.238,0.138,0.040,57,5,-122,QAA.F
78,-0.048,-0.272,1.396,0.320,40,23,-35,MHK
27,-0.149,-0.284,0.024,2.829,50,69,-19,LNN.F
96,-0.001,0.686,0.161,0.514,45,4,-75,SEE
94,0.056,0.230,-0.770,7.349,25,3,-29,NWJ.F
99,0.180,0.120,1.706,0.526,34,1,-50,CCEP
36,-0.171,0.229,-0.236,-1.018,57,85,-25,AHT.F
100,0.162,0.010,0.676,1.403,35,1,-52,QDI.F
99,0.173,0.187,-0.033,0.566,75,4,-282,NEWM.VI
67,0.159,-0.350,-0.932,5.041,37,13,-40,OM6.HM
100,0.195,0.197,0.133,0.080,57,0,-131,CASY
36,-0.093,-0.293,0.151,-1.034,18,14,-6,CMS-PB
0,0.000,0.000,0.000,0.000,18,14,-6,WOO.BE
98,0.006,0.497,0.160,0.011,50,5,-92,CMS.F
78,0.134,-0.421,0.172,6.297,45,13,-60,3LN.MU
14,-0.046,-0.382,-0.868,-0.922,38,42,-14,DSG.SG
99,0.090,0.053,0.148,-0.074,55,2,-116,OSK
13,-0.191,-0.102,-0.000,0.000,81,337,-18,DG3.BE
0,0.000,0.000,0.000,0.000,81,337,-18,SPR
97,0.166,0.227,0.695,0.238,77,6,-317,UN3.MU
96,0.006,0.598,-0.067,0.175,71,13,-211,PBE.DU
75,-0.015,0.588,0.133,-3.315,46,28,-45,2WZ.F
91,0.100,0.169,-0.128,-0.345,57,15,-105,DL7A.MU
29,-0.157,0.046,0.428,-0.170,100,57,-19,0JSJ.L
10,0.032,-0.587,-0.785,0.418,38,49,-9,GEN.PR
0,-0.087,-0.040,-0.050,-4.061,100,330983,-4,^CLTBPUDGY
51,0.134,0.000,0.000,-0.000,46,0,-84,R1.MX
91,0.147,0.226,-0.253,-1.594,49,9,-80,ROK
4,-0.127,-0.361,-0.632,-0.147,54,87,-16,NCR1.DU
90,0.041,0.418,-0.153,-2.377,38,13,-42,EXPD
96,0.075,0.312,0.531,-0.752,37,5,-51,FFH.DU
96,0.161,0.120,0.101,2.048,39,4,-59,NOU.MU
100,0.177,0.087,0.263,0.211,69,1,-219,EME
0,-0.172,-0.213,-0.566,-0.905,51,103,0,K6B.F
91,-0.006,0.412,0.227,0.719,40,11,-50,AVY.BA
8,-0.078,-0.319,-0.123,0.153,49,54,-26,NTA.DU
92,0.156,0.214,0.000,0.000,76,5,-296,J5A.BE
86,0.185,0.169,-0.776,-0.532,65,30,-121,SAYN.SG
5,-0.157,-0.243,-0.993,0.752,46,80,-2,SWG0.F
93,0.139,0.059,0.580,3.547,34,7,-43,AE4.F
1,-0.037,0.597,-2.398,-20.747,41,59,-7,MTT.MU
43,-0.143,0.270,0.624,-0.000,52,42,-48,H221.SG
11,-0.033,-0.262,-2.980,2.337,38,51,-7,AWG.SG
87,0.029,0.102,0.865,1.018,34,14,-34,PKA.F
97,0.027,-0.076,2.187,1.765,100,5,-54,0KS6.L
51,-0.119,-0.058,1.586,-0.920,59,62,-52,JBLU.MX
14,-0.153,-0.260,0.147,0.685,75,177,-47,NWL.SG
100,0.060,0.397,0.836,0.143,69,0,-218,CLMT
64,0.173,0.196,-0.787,-4.457,66,45,-100,EXPE.MX
20,-0.147,-0.249,-0.473,0.543,22,22,-6,AFGC
63,0.133,-0.323,-1.067,0.857,39,16,-41,URI.MX
24,0.032,0.000,0.000,0.000,45,30,-39,INGR.MX
55,-0.054,0.134,-0.562,0.114,21,10,-15,JSM
24,-0.140,-0.126,0.711,2.597,49,54,-27,CXX.SG
84,0.149,0.129,0.333,2.207,35,12,-38,ORJ.SG
81,0.021,0.375,-0.874,-0.272,69,29,-146,AMD.F
14,-0.133,0.293,-3.594,-1.658,50,68,-18,IQVH.VI
78,0.097,-0.068,0.910,-1.392,100,19,-67,0QYK.L
3,-0.181,-0.199,-0.060,-0.000,100,10,0,ZIPIMX
90,0.089,-0.094,0.063,3.406,15,2,-15,RF-PC
29,0.066,0.065,-0.889,-8.492,40,45,-15,LMO.MU
0,-0.121,-0.051,-0.197,-0.141,56,118,-5,CRM.VI
72,0.078,-0.177,1.776,-0.458,58,56,-54,ALK.MU
92,-0.077,0.476,0.659,0.177,40,6,-57,HST
97,0.181,0.176,-0.335,1.189,69,13,-181,APH
0,0.004,-0.480,0.000,0.000,100,0,-515,04M.F
0,0.000,0.000,0.000,0.000,100,0,-515,0J2X.L
93,0.147,0.264,-0.012,-0.803,44,8,-65,WD5A.DU
1,0.057,-0.339,-2.903,-3.429,39,62,-2,SPGI.MX
2,-0.199,-0.124,0.000,0.000,100,1813233,-200,BIGGQ
82,0.158,0.374,0.217,-0.769,33,14,-31,MKV.SG
73,0.182,0.052,-0.631,0.000,59,21,-104,LDOS.MX
0,-0.087,-0.176,-0.469,-0.011,78,352,-1,FISV.VI
8,-0.091,-0.179,0.069,-5.092,37,47,-8,AB4.F
12,-0.186,-0.165,0.000,-0.000,40,52,-10,SNS.BE
98,0.145,0.147,-0.071,-0.389,46,4,-77,LHX
92,0.107,0.076,0.609,0.617,100,7,-32,TDS-PU
82,0.138,-0.105,0.782,2.229,31,8,-35,WIC.F
0,-0.009,-0.593,0.000,0.000,100,2,-0,RJF-PB
0,0.000,0.000,0.000,0.000,100,2,-0,BERY
91,0.171,0.146,1.535,-1.680,100,6,-47,0HYE.L
98,0.175,0.053,0.431,1.782,33,1,-48,AEO.F
