initial date: 2024-02-14, Fecha actual: 2026-02-14
percentil(%)  -  pendent anual  - volatilitat(%) - guany esperat(%) - etiqueta 
84,0.116,37,7,-47,ACR.BE
97,0.159,35,6,-46,XCA.SG
81,0.148,43,14,-52,AIR.PA
99,0.167,62,2,-157,ALSO.VI
70,0.176,29,11,-26,BSN.F
97,0.147,43,5,-67,BNP.VI
100,0.114,28,0,-39,SQU.F
97,0.124,44,0,-79,BOUYF
100,0.015,49,1,-94,0RH5.IL
99,0.165,56,1,-126,ENGQF
100,0.144,48,0,-93,LGRVF
72,0.124,100,64,-20,^CLTBLOUIS
99,0.157,66,6,-173,MTS.MC
100,0.183,47,0,-88,SEJ1.DE
70,0.130,38,16,-38,GOB.HA
99,0.065,31,3,-41,SU.PA
100,0.045,22,0,-27,VVD.HA
57,0.144,69,110,-52,VVVNF
88,0.149,45,8,-69,0MHJ.IL
73,0.177,43,16,-53,BZUM.XC
93,0.179,70,11,-201,LDO.VI
90,0.191,46,0,-85,ARZGF
100,0.178,67,0,-205,TQI.F
100,0.178,27,0,-38,TRN.VI
99,0.192,64,2,-170,ACS.MC
89,0.159,50,8,-85,AJ3.BE
92,0.167,65,15,-146,BBVA
86,0.184,62,10,-138,BKT.MC
92,0.132,100,10,-131,BYMAD.BA
91,0.190,65,14,-153,CABK.MC
96,0.191,51,3,-98,ELE.MC
99,0.188,47,1,-85,FER.AS
70,0.161,30,7,-34,NTGY.MC
80,0.124,51,14,-80,GIKLY
52,0.177,86,94,-257,RDDT
100,0.189,48,0,-91,IBE.MC
96,0.171,77,13,-280,ISMAY
100,0.069,32,0,-48,0QWI.IL
78,0.189,55,13,-99,MAP.MC
82,0.158,44,14,-57,SOLV
55,0.050,52,49,-40,OHLA.MC
99,0.042,44,1,-77,REP.MC
99,0.203,82,2,-458,Y5C.SG
100,0.132,37,0,-59,SCYR.MC
0,0.029,62,164,-0,KVYO
99,0.184,79,2,-357,TRE.MC
0,0.069,64,175,-2,ODD
100,0.184,64,0,-179,D8Y0.SG
30,0.139,59,83,-34,IBIT
30,0.139,59,83,-34,ARKB
61,0.145,48,32,-46,NTES.VI
83,0.182,33,4,-42,OEF
100,0.151,50,0,-99,RHHBF
60,18.000,3,1,-2,ABBNE.SW
98,0.177,42,5,-65,JBARF
98,0.162,29,1,-39,GBRF.F
